"type","gasUsed","gasPrice","1ETH*USD","gasUsed*gasPrice(Ether)","gasUsed*gasPrice(USD)","time(s)"
"prescribe",534261,"20",1300,"0.01068522",13.890786,1
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,0
"prescribe",534165,"20",1300,"0.0106833",13.88829,1
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,0
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",615503,"20",1300,"0.01231006",16.003078,0
"prescribe",534249,"20",1300,"0.01068498",13.890474000000001,0
"prescribe",534249,"20",1300,"0.01068498",13.890474000000001,0
"prescribe",466685,"20",1300,"0.0093337",12.13381,0
"prescribe",466817,"20",1300,"0.00933634",12.137242,0
"prescribe",534333,"20",1300,"0.01068666",13.892658,0
"prescribe",615611,"20",1300,"0.01231222",16.005886,0
"prescribe",615479,"20",1300,"0.01230958",16.002454,1
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",534561,"20",1300,"0.01069122",13.898586,0
"prescribe",466793,"20",1300,"0.00933586",12.136618,0
"prescribe",615491,"20",1300,"0.01230982",16.002766,0
"prescribe",615683,"20",1300,"0.01231366",16.007758,0
"prescribe",534417,"20",1300,"0.01068834",13.894841999999999,0
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,1
"prescribe",534345,"20",1300,"0.0106869",13.892969999999998,0
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,0
"prescribe",534405,"20",1300,"0.0106881",13.894530000000001,0
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,0
"prescribe",466661,"20",1300,"0.00933322",12.133186,0
"prescribe",466889,"20",1300,"0.00933778",12.139114000000001,1
"prescribe",534357,"20",1300,"0.01068714",13.893282,0
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,0
"prescribe",615443,"20",1300,"0.01230886",16.001518,1
"prescribe",466637,"20",1300,"0.00933274",12.132562000000002,0
"prescribe",534297,"20",1300,"0.01068594",13.891722,0
"prescribe",466781,"20",1300,"0.00933562",12.136306,0
"prescribe",466697,"20",1300,"0.00933394",12.134122000000001,0
"prescribe",466853,"20",1300,"0.00933706",12.138178,0
"prescribe",615551,"20",1300,"0.01231102",16.004326000000002,0
"prescribe",534285,"20",1300,"0.0106857",13.891409999999999,0
"prescribe",615623,"20",1300,"0.01231246",16.006198,0
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",466865,"20",1300,"0.0093373",12.13849,1
"prescribe",534297,"20",1300,"0.01068594",13.891722,0
"prescribe",466709,"20",1300,"0.00933418",12.134433999999999,0
"prescribe",534357,"20",1300,"0.01068714",13.893282,0
"prescribe",534417,"20",1300,"0.01068834",13.894841999999999,0
"prescribe",615539,"20",1300,"0.01231078",16.004014,0
"prescribe",615383,"20",1300,"0.01230766",15.999958,1
"prescribe",615503,"20",1300,"0.01231006",16.003078,0
"prescribe",507701,"20",1300,"0.01015402",13.200225999999999,0
"prescribe",534441,"20",1300,"0.01068882",13.895466,0
"prescribe",615635,"20",1300,"0.0123127",16.00651,0
"prescribe",466961,"20",1300,"0.00933922",12.140986,0
"prescribe",615371,"20",1300,"0.01230742",15.999645999999998,0
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,0
"prescribe",466889,"20",1300,"0.00933778",12.139114000000001,1
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,0
"prescribe",534525,"20",1300,"0.0106905",13.89765,0
"prescribe",466769,"20",1300,"0.00933538",12.135994,0
"prescribe",534213,"20",1300,"0.01068426",13.889537999999998,0
"prescribe",534201,"20",1300,"0.01068402",13.889226,0
"prescribe",534513,"20",1300,"0.01069026",13.897338,0
"prescribe",466685,"20",1300,"0.0093337",12.13381,0
"prescribe",466889,"20",1300,"0.00933778",12.139114000000001,0
"prescribe",534489,"20",1300,"0.01068978",13.896714,0
"prescribe",615455,"20",1300,"0.0123091",16.001829999999998,0
"prescribe",466649,"20",1300,"0.00933298",12.132874,0
"prescribe",466673,"20",1300,"0.00933346",12.133498,1
"prescribe",615431,"20",1300,"0.01230862",16.001206,0
"prescribe",466757,"20",1300,"0.00933514",12.135682000000001,0
"prescribe",466817,"20",1300,"0.00933634",12.137242,0
"prescribe",615611,"20",1300,"0.01231222",16.005886,0
"prescribe",615431,"20",1300,"0.01230862",16.001206,0
"prescribe",466673,"20",1300,"0.00933346",12.133498,0
"prescribe",534261,"20",1300,"0.01068522",13.890786,0
"prescribe",615719,"20",1300,"0.01231438",16.008694,0
"prescribe",534333,"20",1300,"0.01068666",13.892658,0
"prescribe",615527,"20",1300,"0.01231054",16.003702,0
