"filename", "language", "Shell Script", "JavaScript", "env", "JSON", "Solidity", "Markdown", "CSV", "HTML", "CSS", "XML", "Svelte", "comment", "blank", "total"
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/static/manifest.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/svelte.config.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/chaindoser/vite.config.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 39
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/classDiagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 491, 0, 56, 1, 548
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Application.sol", "Solidity", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 7, 58
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Chaindoser.sol", "Solidity", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 6, 38
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Doctor.sol", "Solidity", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 1, 13, 79
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/DoctorFactory.sol", "Solidity", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 5, 42
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Helper.sol", "Solidity", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 5, 24
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Manager.sol", "Solidity", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 11, 103
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Patient.sol", "Solidity", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 1, 30, 241
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/PatientFactory.sol", "Solidity", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 5, 51
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/Treatment.sol", "Solidity", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 1, 19, 122
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/TreatmentFactory.sol", "Solidity", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 5, 34
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Application.json", "JSON", 0, 0, 0, 20677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20677
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Application_metadata.json", "JSON", 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Chaindoser.json", "JSON", 0, 0, 0, 21192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21192
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Chaindoser_metadata.json", "JSON", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 409
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Doctor.json", "JSON", 0, 0, 0, 8066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8066
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Doctor_metadata.json", "JSON", 0, 0, 0, 457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 457
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Manager.json", "JSON", 0, 0, 0, 19352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19352
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Manager_metadata.json", "JSON", 0, 0, 0, 658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 658
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Patient.json", "JSON", 0, 0, 0, 19654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19654
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/contracts/artifacts/Patient_metadata.json", "JSON", 0, 0, 0, 867, 0, 0, 0, 0, 0, 0, 0, 0, 0, 867
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/diagrams/SmartContractUML.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 4
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/diagrams/classDiagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 465, 0, 54, 1, 520
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/log/acceptRequest.csv", "CSV", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/log/addDoctor.csv", "CSV", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/log/addPatient.csv", "CSV", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/log/prescribingStressTest.csv", "CSV", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/log/requestAccess.csv", "CSV", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"/home/leslie/Documents/GitHub/svelte-blockchain-template-sveltekit/manager/.eslintrc.cjs", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
